cgl-id	Chr	Start	End	Strand	Length	3F1	3F2	3F3	3N1	3N2	3N3	1F1	1F2	1F3	1N1	1N2	1N3
Cgl0021	WT-3281083	20073	21068	+	996	11.81944136	206.7546405	138.7164036	232.8699259	338.3303004	287.5438023	12.69640126	13.81342526	15.66968598	11.61779804	11.8093389	11.66554505
Cgl0022	WT-3281083	21597	22127	+	531	1.927808662	43.47656549	25.94803154	47.26400836	61.50090573	67.80726524	5.23400412	3.587528438	2.449310614	2.793791792	2.839852611	3.217814022
Cgl0023	WT-3281083	22164	23402	+	1239	5.783425985	40.06054963	42.50196164	79.12076568	103.2578001	80.91548493	0.336471693	0.854173438	1.889468188	0	0.243415938	0.827437891
Cgl0024	WT-3281083	24214	24732	+	519	13.31358034	148.5692254	110.5559966	233.3459866	297.6736813	264.7708837	3.748515089	1.631323143	2.004753659	1.715032881	0	2.633771477
Cgl0025	WT-3281083	24882	26573	-	1692	26.77141736	39.02253011	34.4694377	40.21793886	55.88752811	56.42112432	26.93841695	26.14527965	31.51533179	36.6491985	35.64921363	39.18202053
Cgl0026	WT-3281083	26819	28099	-	1281	9.789159557	149.5817854	107.8544403	488.8763845	444.3126659	386.0263254	2.603518677	5.617940708	4.264209627	5.327178635	4.473266665	5.602161462
Cgl0027	WT-3281083	28161	29117	-	957	3.743816508	18.3337542	24.25879652	232.3275949	154.3094567	197.6094937	1.887687066	0.663524068	0.543608751	0.310032067	0.630287037	0.357086572
Cgl0028	WT-3281083	29114	29965	-	852	3.003715961	67.19884925	50.73082975	137.9922294	159.0054469	160.5110732	0	1.490592802	0.610602787	1.392960978	0.353981628	0.40109372
Cgl0029	WT-3281083	29995	30654	+	660	15.12234454	194.8323234	123.8283366	398.6354316	424.9322445	377.1234805	4.210994224	6.093362696	4.729396132	1.348639492	3.198706714	5.695530819
Cgl0030	WT-3281083	30697	31680	+	984	89.72685666	112.6149087	119.6921228	144.6439968	172.8693041	150.2249933	61.71417449	56.78795015	74.01697198	58.79739251	38.0055397	42.36919268
Cgl0031	WT-3281083	31677	32702	+	1026	99.0242594	198.0090597	165.1981023	244.1194658	281.3930249	255.9552371	106.4568891	115.1156055	134.3683209	90.51395268	72.31161543	69.27897137
Cgl0032	WT-3281083	32699	33460	+	762	131.3167855	236.6169285	207.5702581	318.5281451	339.3232784	290.2283696	185.6484776	214.1641485	210.2781377	179.5000227	140.1098306	150.2364429
Cgl0033	WT-3281083	33462	34274	-	813	681.185144	473.6475015	563.2177445	443.7799982	431.4801896	372.9893124	261.6876521	204.8950898	305.2292928	234.2950085	153.9493532	184.9471262
Cgl0034	WT-3281083	34330	34902	+	573	3861.080289	3300.943439	3198.128851	2412.213223	1923.043553	2320.360773	3909.39003	3662.566009	4107.847832	3957.562585	4342.298194	4029.811701
Cgl0035	WT-3281083	35012	35671	+	660	8.918305752	43.02401397	34.03134423	41.08854321	63.3456257	64.31369242	12.84353238	11.54531879	12.61172302	3.146825482	3.198706714	5.17775529
Cgl0036	WT-3281083	37245	38201	+	957	9.626956734	155.1132099	114.982751	201.1745765	275.8070606	249.902661	1.306860276	2.875270963	2.718043754	0.620064134	0.315143519	3.213779146
Cgl0037	WT-3281083	36244	37242	-	999	3.586418817	36.5124814	35.51963049	53.78534986	83.52031228	75.72063482	0.417305734	0.211876054	0.260377164	0.296997686	0.301894242	0.342073923
Cgl0038	WT-3281083	38202	38981	+	780	13.1239282	159.2345933	114.9410301	256.5432789	280.6531188	240.9694109	4.810251094	7.598201256	7.003144272	6.086167966	3.866568555	4.381177553
Cgl0039	WT-3281083	38978	39802	+	825	9.616260116	64.0812956	51.01841858	125.1541714	153.3344759	112.9118211	2.695036303	3.078751678	2.837637679	1.79818599	0.365566482	2.071102116
Cgl0040	WT-3281083	40186	40458	-	273	253.1043295	230.8605628	239.9069922	206.0737257	236.6162126	252.2828128	173.5762564	197.708298	147.6853554	227.144483	207.6899681	239.0871179
Cgl0041	WT-3281083	40573	42513	-	1941	118.3993337	274.9869248	222.487985	369.6773709	408.9726143	381.807795	101.2330822	100.5432107	104.3951454	119.6891494	134.0928365	117.6078698
Cgl0042	WT-3281083	42510	43919	-	1410	68.06292549	165.6956663	136.5391319	217.4157883	252.7346432	224.2007584	52.03713713	64.8503013	59.0335971	78.06805346	70.58544298	73.92071915
Cgl0043	WT-3281083	43923	45347	-	1425	102.9054117	180.9622797	139.0754625	232.8574649	250.9557086	219.870378	122.4823078	134.8709288	138.363877	173.4397708	146.245833	121.8244066
Cgl0044	WT-3281083	45344	46669	-	1326	115.6063675	204.0487025	185.1867247	263.7075891	300.545119	260.0765688	171.240747	161.8608419	151.8328758	176.0961099	163.0782149	137.3628021
Cgl0045	WT-3281083	46666	48021	-	1356	116.0683694	190.8515419	166.4744421	246.6938699	296.2777575	258.9511399	130.2520138	119.4123127	119.891587	84.4590455	83.62737653	90.47325505
Cgl0046	WT-3281083	48021	48485	-	465	25.86683912	323.7012622	198.8928657	421.9993438	520.1655478	467.0754667	11.95379005	10.46941095	8.950255045	7.656791957	2.594342772	3.674536013
Cgl0047	WT-3281083	48502	49398	-	897	54.77813509	127.6553391	110.4696399	151.1618646	186.8353621	175.474783	33.77245535	35.63131645	37.69808511	24.14620987	19.8371778	25.14414944
Cgl0048	WT-3281083	49894	50616	-	723	15.22048934	68.97079053	55.34439467	70.82296255	117.8853825	95.71719921	16.91386892	15.80894274	17.62893855	14.77347826	11.67992493	12.7617703
Cgl0049	WT-3281083	50963	51436	-	474	84.22571641	68.18666411	77.64837078	65.74037694	74.19632151	79.09732058	155.673527	166.1161902	148.7165598	167.1288688	175.6107339	183.1221301
Cgl0050	WT-3281083	53097	54011	+	915	17.34079693	123.8825533	92.61926389	211.3292429	220.4194234	191.3370297	10.6310346	9.484405783	7.675577328	13.29478494	8.240228068	9.33693577
Cgl0051	WT-3281083	51623	53095	-	1473	90.69142235	227.8827279	187.848314	317.4355177	342.54467	300.5012644	74.05689434	68.1118943	72.04864168	63.24780458	48.72978863	60.7832617
Cgl0052	WT-3281083	54179	55549	+	1371	8.026560025	97.66530007	77.78342658	140.7945895	178.5178141	156.2488314	1.013587231	0.926320253	1.517822245	0.649235642	0.21997983	0.249257366
Cgl0053	WT-3281083	55626	56372	-	747	12.33333011	397.129616	237.2581111	456.1567273	553.6750744	596.3134446	2.604390002	4.533637009	6.267874391	3.574707089	0.403738082	0
Cgl0054	WT-3281083	56383	56676	-	294	2.611393876	14.91956018	10.91384217	17.18750064	23.80246424	25.84191882	0.945325234	2.159838549	1.769501954	0	4.103297242	2.324706457
Cgl0055	WT-3281083	56677	57270	-	594	2.58501616	65.68255068	52.42924181	80.53241043	128.9870395	140.9729445	1.169720618	1.069010999	3.503256394	0	1.523193673	1.150612287
Cgl0056	WT-3281083	57397	57654	+	258	82.32975887	202.2266945	225.3238113	210.8733122	358.8679224	359.7749041	73.79032901	64.81189942	64.52509451	35.65008271	30.39302724	50.33259794
Cgl0057	WT-3281083	58087	58944	+	858	2.386168763	90.40693367	69.51457515	81.86298384	135.9348191	150.3411966	1.781574479	0.986779384	1.515832093	0.691609996	0.351506232	0.398288868
Cgl0058	WT-3281083	59091	59933	+	843	7.589460257	70.65483415	54.40699969	112.4914781	136.2250714	113.2438225	2.802334234	4.519519812	2.159925873	1.75979056	1.788803958	0.405375859
Cgl0059	WT-3281083	59952	60665	+	714	9.677518482	45.26677701	46.52544483	99.55269981	155.0570785	97.84900462	2.335509401	1.185793713	1.092927677	0.415547183	0.422398245	0.957232071
Cgl0060	WT-3281083	60669	62324	+	1656	5.872482364	97.44657812	74.76865789	140.669729	199.4794219	168.9535533	1.762209539	1.278165325	2.199054965	1.791670823	0.182120983	0.825439249
Cgl0061	WT-3281083	62387	63508	-	1122	204.5964261	263.7818551	253.8472488	320.3615316	335.5191182	297.9421228	175.2516714	179.0279009	190.335011	260.2080903	214.501509	225.9937897
Cgl0062	WT-3281083	63591	64040	-	450	104.6414542	102.0916711	108.2139551	84.21875316	99.68553401	119.6518293	59.59960491	44.21429493	61.84999163	60.6588074	33.51026081	36.45139724
Cgl0063	WT-3281083	64190	65461	+	1272	14.88822987	260.9885922	167.8230353	389.7103625	445.0582922	414.5969127	15.51314381	16.30746024	13.29213142	6.997657744	9.246935176	7.79105631
Cgl0064	WT-3281083	65505	66197	-	693	19.94155324	175.2274979	123.6513028	285.5902885	331.1631117	284.3292016	6.617276637	10.38467828	8.257675785	8.134650907	8.703963846	5.917434618
Cgl0065	WT-3281083	66599	67975	+	1377	16.54072432	162.4574331	113.0826784	278.6497018	314.8238564	269.2753888	11.20179509	9.837695993	7.744944282	9.049694198	3.942383625	10.67136493
Cgl0066	WT-3281083	68248	68634	-	387	29.75774417	83.51544906	77.54650649	144.9345985	169.6972346	160.4689964	32.31693241	31.72227988	24.19691044	39.10009071	23.37925173	42.38534563
Cgl0067	WT-3281083	68717	70297	-	1581	13.92082706	209.1033054	142.7826335	340.8169404	411.5291229	337.4309456	2.373178908	2.945358579	3.45506169	2.814997043	4.005970457	3.242237658
Cgl0068	WT-3281083	70506	72161	+	1656	23.02631243	120.4489893	99.95748928	170.2683488	211.6150521	191.1947826	10.99283094	12.01475406	9.110370567	10.21252369	12.20210584	14.44518686
Cgl0069	WT-3281083	72161	72817	+	657	86.86362522	193.6136531	160.8787694	286.6257718	337.0190383	250.8877336	60.70369299	81.18626	81.9546042	74.5138715	81.25090634	81.66194874
Cgl0070	WT-3281083	72814	73728	-	915	79.15234728	101.4272636	115.5162311	130.1478874	147.6653255	138.26808	51.94019761	46.95937498	39.79928985	48.31519406	39.55309472	54.52770489
Cgl0071	WT-3281083	73844	74275	+	432	101.8927203	146.4254495	133.6945666	102.1542284	132.9140453	154.8408451	82.34833149	91.62315106	101.1565284	78.29601498	72.60556508	67.23890551
Cgl0072	WT-3281083	74490	75494	+	1005	22.4086177	135.5300816	90.89821983	182.0130665	219.6057436	210.0288955	28.89873349	29.90677936	25.88226739	41.33143917	34.5105671	47.6044367
Cgl0073	WT-3281083	75506	75745	+	240	10.66319166	295.3091365	191.1045864	463.9049653	577.9268834	446.6298154	21.42343311	16.75674741	30.34695851	14.83503442	7.539808682	14.23882705
Cgl0075	WT-3281083	82117	83568	-	1452	9.341308397	66.77784873	66.42481628	114.3797391	159.5380468	118.4127234	4.210994224	4.373226815	4.478594822	4.291125658	2.700206966	4.000992724
Cgl0076	WT-3281083	83688	84935	-	1248	25.01748813	58.64006282	52.17717815	95.82582491	113.8715523	93.30153486	23.93990707	21.36994103	21.0511182	15.92864272	16.91623743	14.78647424
Cgl0077	WT-3281083	85095	85319	-	225	17.06110666	90.29213121	68.78716525	93.5763924	152.319496	131.3967942	27.17494939	31.04407942	17.34111915	38.24142205	16.08492519	31.89497259
Cgl0078	WT-3281083	85426	85623	-	198	84.0130252	41.97464777	76.26071536	47.63889068	42.59290999	54.22036326	103.1693585	71.62373695	73.56838427	98.90022945	91.39162039	113.9106164
Cgl0078	WT-3281083	85660	86220	-	561	1244.001012	1007.803063	1055.089427	1376.924071	1124.260916	1351.632694	2123.084205	1955.535533	1817.571847	2179.507195	2558.965371	2586.441054
Cgl0079	WT-3281083	86318	87244	+	927	31.74801401	322.0093934	216.6396632	435.1756501	536.3662422	500.3012936	12.74200518	12.55828455	10.94342471	14.08288057	15.29108988	23.2244946
Cgl0080	WT-3281083	87558	88532	-	975	256.441557	268.0350329	309.5422436	343.7852693	347.273728	349.1303732	92.35682101	88.13913457	89.10667378	134.2000037	160.8492519	147.2075658
Cgl0081	WT-3281083	88542	89444	-	903	13.60354019	184.0748673	107.4363998	259.0915795	299.8514368	281.4913968	0.923340926	2.109609746	3.456701491	2.628577527	0.667978621	1.89220293
Cgl0082	WT-3281083	89573	90448	+	876	11.10140502	85.9138624	73.04183414	129.2123336	179.4339612	133.2998204	15.70470106	16.91380417	13.6591007	34.54734042	34.08406664	43.30163842
Cgl0083	WT-3281083	90458	90973	-	516	14.87887208	39.81897303	33.28647213	55.16654761	68.50482628	66.57756233	16.69708175	19.27948907	19.15588743	10.92502535	12.85858845	8.609523332
Cgl0084	WT-3281083	91174	91476	+	303	32.09515114	78.47735302	72.25891544	102.2854824	143.9024837	118.8305539	63.28999239	34.22952051	43.7820335	16.64657327	20.90243991	20.30090193
Cgl0085	WT-3281083	91503	91991	+	489	36.6342781	172.319234	107.6890194	222.5166239	299.056602	262.7755746	60.24563515	45.88221442	57.44910638	16.3822466	27.75389699	20.96514412
Cgl0086	WT-3281083	91992	93704	+	1713	52.73704597	77.35783014	81.09545773	87.51277328	108.2050683	99.21384213	101.8087132	98.97431784	105.990378	39.49080966	42.4306805	38.70168052
Cgl0087	WT-3281083	93729	94202	+	474	12.41789409	97.89656775	66.49886113	58.98866255	145.7427744	117.4264187	24.33315017	20.54124933	19.75570536	8.137360651	5.090166199	8.651439219
Cgl0088	WT-3281083	94202	94882	+	681	24.42669455	90.85261501	65.68668005	137.5201961	144.6538101	129.9965822	24.28278167	22.06777772	21.3899267	11.76346341	8.414470776	10.03617766
Cgl0089	WT-3281083	94899	95516	+	618	21.11933106	48.56290155	38.17663239	43.88096847	66.19893715	74.02962518	17.31413644	24.65990422	19.36144371	14.40294604	9.760270138	11.05928314
Cgl0090	WT-3281083	95517	96368	+	852	27.33381524	132.5009568	98.3602114	228.1418806	267.4661159	208.3929996	13.04815112	15.89965655	14.34916549	11.49192807	8.14157745	12.03281159
Cgl0091	WT-3281083	96365	97117	-	753	47.92063822	133.3656637	115.8038712	191.4774308	238.7686974	211.8831431	56.84003359	59.31094492	67.360921	109.9329244	119.3552716	123.8948138
Cgl0092	WT-3281083	97316	98470	-	1155	15.73166977	272.435452	167.8280457	359.0416801	435.1467752	395.6775696	13.47518152	17.59286673	18.91758453	22.86265044	20.88951323	23.37386674
Cgl0093	WT-3281083	98805	101582	-	2778	126.1158478	167.6190623	166.5958975	249.9277901	265.5984336	238.5299623	77.73513527	83.58373042	89.42099777	97.2981739	88.48011628	97.91884519
Cgl0094	WT-3281083	101609	103435	-	1827	36.13928996	121.4324033	109.1974554	206.5134177	240.4238298	223.3821438	28.52274413	24.44506925	25.62726968	30.69317466	32.68488493	32.73293574
Cgl0095	WT-3281083	103479	104912	+	1434	147.9462073	226.3528251	219.2814649	312.6782718	321.2043085	276.1940281	131.5979743	120.8876999	148.1976396	98.48642096	91.06658743	104.3783472
Cgl0096	WT-3281083	105170	105622	-	453	18.07799381	289.9771749	187.0786456	490.43945	557.3147537	473.2501355	3.374372855	5.606998089	3.44525546	0	0	1.508749886
Cgl0097	WT-3281083	105838	106392	-	555	25.82221548	220.4614383	135.6925458	315.0236605	391.1983659	312.1740233	29.29486252	31.27290556	23.90262369	23.52221673	28.25730101	38.17544982
Cgl0098	WT-3281083	106627	107178	-	552	23.64446846	46.42304795	42.3992999	47.29676355	72.81378136	50.56638226	18.12558383	16.48833269	20.73394681	21.50004988	15.84452549	16.7151448
Cgl0099	WT-3281083	107435	110893	+	3459	133.988136	297.0018804	249.2048715	394.8712746	433.4116062	401.1388076	114.0547603	112.3490692	116.0335943	154.5691357	147.8752879	166.5683428
Cgl0100	WT-3281083	111374	112321	+	948	57.77020292	172.9018983	145.5409206	219.0753642	275.9648897	264.9934463	22.28095678	20.31797488	19.75570536	9.07628688	7.317113911	11.89572893
Cgl0101	WT-3281083	112470	114086	+	1617	31.96979169	81.52219007	65.36632745	93.95833686	114.4071824	114.7054341	21.57060306	24.34727092	22.03834252	27.89023168	22.0085943	33.3912382
Cgl0102	WT-3281083	114093	115481	+	1389	45.14007701	155.5691049	114.687551	245.3197086	265.4692515	244.1186503	28.11270658	30.32481742	28.83944221	35.45882956	35.39204651	31.73751515
Cgl0103	WT-3281083	115536	115946	+	411	21.17071629	49.42999884	42.70878384	42.21183248	72.03553187	66.70839976	12.84814296	11.32995599	11.39197608	10.10659279	11.00701997	5.820250472
Cgl0104	WT-3281083	115949	116266	+	318	7.242922637	97.28086607	91.99848091	87.39681932	152.3495897	177.628743	11.36173913	7.321716844	10.63370514	2.799063098	7.587228862	4.298513826
Cgl0105	WT-3281083	116545	118557	-	2013	111.8761092	131.8875545	131.0809181	163.0823149	184.7822164	164.0148895	61.37006336	57.62144534	52.7211372	60.72562524	55.43426155	62.13306349
Cgl0106	WT-3281083	118807	119589	-	783	508.5647885	573.1710524	556.1115442	634.1682869	566.4888277	596.1075906	345.5435375	296.8164333	323.5680086	444.4826404	434.0926889	503.6507713
Cgl0107	WT-3281083	120021	120413	+	393	254.6142253	191.5026551	253.1011643	156.8654639	192.6746352	203.4075495	114.5647589	124.4132954	120.4612094	125.3239549	111.2745302	126.9538167
Cgl0108	WT-3281083	120410	120922	-	513	195.0553422	192.158792	213.7641368	194.3762256	189.9271753	209.5935338	157.6537136	147.7110637	135.8894717	217.464832	203.4131621	238.4795361
Cgl0109	WT-3281083	120948	122459	-	1512	12.35576177	116.0410236	89.50420566	220.6843254	253.9607652	204.8159326	6.249650157	5.319602353	5.677152102	1.569844912	1.196795029	4.520262555
Cgl0110	WT-3281083	122504	123841	-	1338	8.798328545	91.61955069	82.80528684	152.1980158	204.780014	144.0552197	5.712223106	7.276944829	3.499328976	3.769739688	3.83189081	3.831074542
Cgl0111	WT-3281083	124121	124969	+	849	11.75588621	131.6095552	97.81851475	170.2230629	236.7091126	214.1873834	1.964138649	4.238269757	4.595702955	3.145236979	1.776162234	1.610044048
Cgl0112	WT-3281083	124971	126353	+	1383	31.27252739	251.5595575	167.4551315	403.8602827	434.3780927	404.1312469	14.46901269	17.90651396	16.92733973	12.22844486	16.79147559	17.29662288
Cgl0113	WT-3281083	126350	127189	-	840	57.27657235	232.5095668	162.4557507	349.9088673	386.637464	320.889218	153.6862499	149.9287926	156.689398	122.5656415	102.6850135	89.90802222
Cgl0114	WT-3281083	127189	128004	-	816	48.29798576	258.020629	163.3016679	342.8611495	372.9411743	341.4594845	82.93491197	92.34368543	104.5567478	90.17373861	74.28929142	69.93776815
Cgl0115	WT-3281083	128096	129049	-	954	10.73025576	30.24902552	24.13723585	27.19012156	42.88358821	58.34394386	10.77908584	8.874808296	9.270409608	13.68430848	11.38084329	12.53733199
Cgl0116	WT-3281083	129486	130118	-	633	11.72445718	51.78862545	45.0245432	37.78534897	58.11052456	67.3178524	7.903098164	9.362712448	5.342050923	11.71803666	10.48188253	10.79721482
Cgl0117	WT-3281083	130145	130801	+	657	21.03424108	66.76332865	68.37347699	72.29737714	114.7066419	126.1980383	7.402889389	9.020695555	5.938739435	9.031984425	5.049491355	3.120838805
Cgl0118	WT-3281083	130812	131711	-	900	22.17943865	116.7128401	109.052823	171.4319509	226.0867911	188.2864676	14.82269967	14.58131003	17.6301378	22.74705277	18.76574605	18.60540068
Cgl0119	WT-3281083	131822	132427	+	606	154.1411864	179.8121875	208.3673036	178.1657451	220.2951603	243.657145	90.57806882	97.44934921	91.85642322	88.61852243	62.70731973	75.00055436
Cgl0120	WT-3281083	132424	132984	+	561	478.5321092	603.2826827	483.4705058	559.6568837	564.8491542	566.7377336	395.833457	329.3811538	249.4524626	353.2906592	346.7505597	435.5405921
Cgl0121	WT-3281083	132968	134134	-	1167	275.2145097	258.5559173	276.7293555	239.7383873	267.9977673	231.1157727	270.3046935	303.6211086	330.3282594	127.629602	125.8573034	137.9226229
Cgl0122	WT-3281083	134204	135478	-	1275	11.2402585	115.3397478	77.86667631	164.8705944	197.025526	179.0243538	7.193368956	9.960667193	9.79263199	6.050366978	7.805919577	8.308774372
Cgl0123	WT-3281083	135515	136033	-	519	19.72382272	327.8308955	202.5647701	455.9820739	574.2578219	499.6277493	5.087270478	4.078307858	4.510695732	5.716776269	3.486616732	7.242871562
Cgl0124	WT-3281083	136119	136541	-	423	24.80515507	294.1698424	182.0521758	432.0441947	447.1002249	411.151861	3.942207358	10.00776255	7.994132941	6.312780603	2.138952818	8.886643832
Cgl0125	WT-3281083	136804	138747	+	1944	253.678646	263.0432852	271.0785984	318.5063134	333.4850318	315.5439773	243.0419506	270.6775443	280.5889418	241.1456212	248.2241541	249.0915794
Cgl0126	WT-3281083	138791	140332	+	1542	119.3281682	119.472587	133.1743543	118.2994937	151.7392253	129.8172792	82.09800217	84.14406033	79.95807857	86.97062979	55.54619107	70.03065132
Cgl0127	WT-3281083	140332	141792	+	1461	114.7333148	168.4444626	159.4193455	206.9440957	247.5967596	196.4779475	67.34132036	69.54059231	72.28433649	75.34288527	62.13504211	57.77396766
Cgl0128	WT-3281083	141796	143529	+	1734	139.9128816	330.0480594	248.9391198	403.4146273	464.8312306	430.1491773	101.1367159	116.8181189	114.9074158	136.0305924	153.7529614	137.1657249
Cgl0130	WT-3281083	143575	144642	+	1068	57.269726	137.2626005	113.4592356	182.1585391	201.947211	172.5866498	45.01978656	46.17767176	43.35279787	57.22878446	55.91318798	66.87449108
Cgl0131	WT-3281083	144731	145483	+	753	12.91478193	124.1680318	93.99664866	170.6743922	236.3857763	199.3807216	18.63910192	18.83333322	22.45364033	10.6386701	11.21458927	7.715061668
Cgl0132	WT-3281083	145515	146396	-	882	12.18650475	67.53064081	53.28522943	74.28819723	100.9061732	98.87342852	10.08346916	13.19901336	15.3356836	11.4374415	16.41318897	14.72314089
Cgl0133	WT-3281083	146522	147241	+	720	10.66319166	127.9352285	94.37263526	203.2947125	236.2547156	201.6371894	2.316046823	2.057846174	4.696553103	0.412084289	0.41887826	1.423882705
Cgl0134	WT-3281083	147238	147573	+	336	162.9945011	256.9697931	226.9437181	383.4961081	448.584903	384.8901006	111.6665433	71.81463177	120.7685084	158.9467973	136.4346333	180.0194563
Cgl0135	WT-3281083	147570	147980	-	411	117.0616077	139.302724	165.7835588	256.1397602	268.9326523	238.703551	108.5329971	102.4846019	132.9063876	147.2674949	157.033485	167.124335
Cgl0136	WT-3281083	148122	149783	+	1662	178.0021597	162.658074	186.4739676	279.7157145	267.6394644	273.0863328	480.3497833	461.6622411	464.9861461	300.2710937	350.7689575	349.9564424
Cgl0137	WT-3281083	149791	150930	-	1140	12.79582999	215.06484	134.9363118	322.3952972	382.9498488	314.969822	3.778813238	4.270417623	3.422589306	3.643692664	0.793664072	3.29741258
Cgl0138	WT-3281083	151590	152372	+	783	31.37674787	291.0081423	188.9863245	433.2479409	511.2607503	431.78777	52.887506	43.25193928	44.18331124	59.11278082	50.84315433	65.02943235
Cgl0139	WT-3281083	150963	151454	-	492	32.24965283	267.4604081	186.4434989	396.7867273	434.3614793	388.0672453	145.1765935	120.0290765	115.7836919	161.6174481	150.7961736	156.974386
Cgl0140	WT-3281083	152440	152817	+	378	1894.324461	1627.017299	1656.764041	1354.184079	1088.471093	1270.186488	1468.667787	1566.762883	1385.913253	2915.202001	3249.697435	3252.780935
Cgl0141	WT-3281083	153223	155652	-	2430	83.30453929	171.3878417	142.9182295	228.8809242	231.1227566	216.3438836	74.74254809	73.60338695	78.24912406	47.49652995	55.47809845	57.37719937
Cgl0142	WT-3281083	155874	156170	+	297	58.59369963	117.3735521	135.3627698	102.6504668	141.3722119	164.6074618	69.71534882	66.27868195	58.6795446	73.92542403	46.71127264	51.7775529
Cgl0143	WT-3281083	156144	156821	-	678	165.7041111	325.1797012	296.4804028	366.4385278	437.7341768	438.9745571	60.66812917	70.866915	63.68641103	73.081143	74.73084711	93.24541607
Cgl0144	WT-3281083	156848	157540	+	693	15.51009696	146.5781351	96.14297329	192.9861183	233.8078889	205.6798835	7.820417844	11.60640513	7.131629087	7.278371864	11.315153	12.82110834
Cgl0145	WT-3281083	157584	158141	+	558	4.127687094	23.99625921	27.06025384	36.8268383	59.16818793	67.48618911	3.486522099	3.413938352	6.06006852	1.063443327	1.621464233	3.062113344
Cgl0146	WT-3281083	158154	158834	+	681	7.140110715	69.15646814	51.55157168	102.8928086	123.8384167	93.1318798	9.794735463	9.01359935	10.69496335	5.663889792	7.52873701	6.523515476
