Uniprot_ID	Gene_Name_Stringdb	3F1	3F1	3F3	3N1	3N2	3N3	1F1	1F2	1F3	1N1	1N2	1N3
P35868	argS	5956.462568	7653.896532	6234.74549	7007.793742	6228.088695	7327.404545	9526.45893	6865.56469	8729.684045	5394.410311	5887.766695	6205.433213
P38376	secY	1497.642276	3528.231079	3539.498803	2249.547956	1966.904237	2809.668376	4958.985949	3218.228818	3377.100579	2158.687215	2251.151712	3861.959069
P40110	dapB	8658.477385	12904.64252	10300.67515	9531.563513	10744.8885	10944.47078	10566.68417	5297.639509	8378.735735	3832.935389	4642.500576	6236.106048
P40111	thyX	904.0331336	1754.4399	1160.872285	1359.238483	1101.510825	1654.33863	675.8971879	983.7876328	1663.736141	1150.191313	1320.007951	1296.714135
P42439	tuf	50392.6812	72149.15245	29406.67019	92302.31285	68472.57223	92592.62345	107652.7126	59281.34273	59688.73198	57921.41282	43917.54066	48097.55938
P42455	leuA	6412.225714	6800.848371	5069.657095	6361.29937	7212.404474	7971.563461	170508.2988	137952.7007	136696.7082	153659.4192	157640.8649	183951.2195
P42457	gltA	30971.0231	34003.16127	43333.32205	48032.34552	47848.64935	56096.17862	30331.52067	20856.1408	22238.02561	21804.98727	18706.14673	21449.50389
P42463	ilvB	10762.46141	11622.0941	11488.62541	10683.58355	11676.18681	12599.48004	19866.84027	15726.85054	16806.25636	17766.42117	19537.31986	20640.67668
P42464	atpD	148567.7927	156433.9702	172147.1423	184588.7606	183966.8857	209503.8825	146311.2029	94728.28108	96720.83846	116063.2845	83555.97158	109305.2595
P48242	gluB	6744.889867	8540.040998	9896.646707	9898.054971	11518.08739	12700.87375	27390.01065	19195.79915	19584.75698	21658.71074	20492.59651	23335.42216
P49973	adk	62707.04855	71040.69321	70968.5451	64554.52189	68130.21484	68010.14273	72350.48871	53286.69006	61095.42118	45800.6967	38891.25485	44900.71737
P50216	icd	51109.2451	58200.04543	51444.3844	64390.99502	55542.11526	60998.94048	62800.55789	45522.24511	49175.81174	44012.34698	36290.48866	41336.43035
P53532	clpB	4343.082698	5396.773012	5302.45484	5502.853271	5764.702459	6078.052152	8023.549836	5247.067058	6024.69204	4014.597341	3688.487817	4813.117027
P54122	rnj	10009.63462	12675.19826	12339.31118	12563.36954	11793.13729	13535.79663	14388.92942	8922.209469	10927.93563	7795.82437	7160.877531	8854.81169
P58893	carA	944.0499093	2277.121517	1130.413761	2578.3731	3936.024005	2633.695445	895.1250242	481.8681056	674.0285053	1041.345813	1074.482833	282.8801198
P58939	carB	10895.55866	13128.81761	13347.90903	13371.08734	12767.72563	14900.30012	13902.25091	9593.631365	11328.38578	8802.606478	8519.124516	10105.14806
P58946	leuC	7901.266959	11492.50116	9029.979275	13816.01354	12469.55589	22373.43692	17048.36069	8446.135989	12877.02225	13082.84166	10223.97573	14147.65927
P58998	upp	1445.79924	2887.52196	2552.352527	2139.626829	2098.795899	2840.791527	2565.960684	1736.316945	1795.875281	1762.779854	1093.950683	2358.461683
P59004	pyrH	8258.753746	9751.178177	10525.17188	9998.23081	9460.1797	10356.61338	9807.535855	7595.621932	8466.604795	7196.114398	7279.417677	7610.889264
P66326	rpsJ	93288.95845	101892.4767	107025.4119	36809.65753	89180.71744	98400.42401	152627.4565	108368.9249	117261.0989	122941.8088	90489.02334	109782.3911
P66455	rpsR	81510.41581	105224.6929	120956.1062	30550.86183	76732.78662	25135.9663	168905.3737	63141.95809	96992.51019	94667.95528	81814.34523	106787.6787
P66482	rpsS	19529.94237	31755.24256	30665.86911	16094.95993	13814.20003	27086.62135	51969.78722	38063.08783	43330.04335	39465.58033	34242.30826	40187.31078
P71121	thtR	6238.519503	8537.877958	7143.978717	9118.947179	9339.450377	8751.690845	8686.674827	4839.582858	6382.2257	5261.624978	5358.565842	6375.273513
P82134	pdxS	51286.24794	46748.49931	66145.15594	51257.20946	31819.55006	51199.02595	66921.9749	18829.36395	36742.94905	53097.74029	32183.05268	52084.24157
P94335	murC	2600.912859	2930.248025	3143.650434	4193.673701	4607.39324	4516.058364	2564.56014	2041.679254	2112.48956	1376.683283	1401.981232	1876.681476
P94337	ftsZ	3816.402092	5257.14074	3079.855449	7161.904744	4802.420725	6601.725407	7627.191545	3715.385474	5114.696843	3885.887812	2454.900123	3997.966163
Q8NL73	Cgl3076	3263.659763	1483.02089	2191.052529	972.1074297	936.5080268	541.7876659	1933.124539	1810.578472	1055.45135	259.8345287	631.5076946	554.6790943
P94631	leuB	5642.367358	8415.320871	6714.159144	8056.864916	7883.284777	9672.200966	9649.22419	7107.262139	8044.540439	8302.371551	8668.460014	9285.621
Q01651	gap	132164.5518	115298.3698	86045.73714	88125.24073	143598.4725	82656.76203	102849.0548	59461.37067	62878.03517	71200.5259	63129.61312	77817.70761
Q01655	pgk	58345.72955	58120.51727	53521.15141	67588.35637	81372.46709	72971.23624	55193.28705	33903.57057	36141.6313	39967.87023	30739.75279	43417.49745
Q04513	ilvA	5692.58815	6895.899162	5941.577453	8140.767294	7446.254702	8703.857916	6732.08656	4151.545751	6133.486494	4085.514259	4786.357178	5295.782955
Q45288	efp	6950.370337	3941.89053	2824.17361	3918.814857	3968.727582	3965.242883	3697.663819	1473.943664	1888.629102	6207.049512	1846.798884	6047.368028
Q45291	galE	3709.812989	3977.634355	5382.186064	4106.654371	3520.340435	3300.180591	3946.918287	1975.921547	2539.779996	1515.224137	1422.477834	1432.421447
Q46072	ptsG	20327.69297	24049.14524	31348.42825	38829.49846	23461.48199	35614.07728	28035.75511	20721.59307	21031.68321	21336.82619	20864.75683	24781.86461
Q46078	pyk	45088.34024	51086.02851	50258.17709	36465.11859	47889.06365	62935.98828	60000.85835	39396.24756	41389.72437	35639.86542	31844.27507	38561.28257
Q57179	ilvC	9733.435339	17091.28437	12899.73176	15180.31651	15477.77422	15474.59477	16491.84564	8256.342854	12996.24652	9955.587879	10358.05239	10805.38565
Q79VF2	glnK	2458.950217	4103.842082	3172.511008	1354.779473	3634.415012	1797.551844	4850.027069	3909.356975	8538.200479	1127.707941	1161.777661	2498.470297
Q59281	argB	2264.744512	2582.486045	2601.946068	2370.831768	2144.586757	2341.337313	5944.886981	2870.036209	3048.664749	2438.768518	1617.708308	3049.246388
Q59282	argD	5528.702284	6916.205956	7737.481953	7250.734487	6027.737431	6869.522496	12474.65657	4449.385729	6190.859925	5088.41545	3965.399047	5849.162558
Q59283	argF	7596.737454	7926.246169	7481.823918	7827.296604	8299.076065	4377.353044	12060.66938	7982.878552	8085.595049	6749.366389	4929.162395	6848.477713
Q6M2F0	ftsH	3588.505472	3988.934228	4434.738907	3145.064556	3903.584626	3804.396648	6269.279263	5102.371126	4899.114637	2714.57102	3195.446095	3619.392678
Q6M6E7	glpX	9049.692578	11796.67435	10882.5024	12103.65659	12309.78505	12686.42181	15776.01797	9088.856338	9348.241353	7096.586852	8420.502662	9045.95884
Q79VD7	ctaD	8103.01223	9353.262812	10956.16674	8275.303594	5600.313067	1409.078569	20770.92548	14368.37589	14619.21677	13853.9117	14648.98721	14613.04075
Q79VE8	qcrA1	12718.39531	13923.2301	13894.99259	12871.16823	11698.63118	17297.23535	27802.67683	19946.25035	19692.03959	16596.48462	13373.01869	17627.83355
Q79VE9	qcrB	20109.05343	25667.91178	26633.46341	21189.15254	20444.31435	31235.30084	45159.00111	30785.90274	37942.85626	32161.06766	27963.46645	28800.21842
Q79VG6	atpG	42174.78711	52418.11972	50280.89196	53375.93322	53189.3954	64189.46284	34388.50242	27051.61192	33724.37386	32181.55594	25295.35565	28825.24391
Q79VG7	atpA	80382.74284	76299.93713	85093.49962	107555.8122	104975.6407	118905.5316	74641.41141	53101.1474	56878.38967	50439.75196	42676.23671	55285.11829
Q79VG9	atpF	1861.742407	2089.347439	2360.183921	2547.518677	1998.652112	2098.85262	1938.455152	1793.920058	1503.051086	1347.652183	1586.400619	1871.374156
Q79VI4	metY	31575.05413	32475.66148	34287.68484	29208.80885	39171.0809	35938.44754	23383.1852	16977.75926	19051.75928	13383.2687	13493.25517	15779.32344
Q79VI7	glxR	35855.81833	36100.19466	46384.80133	40743.55662	43944.2541	44560.32486	64340.47601	32624.95655	46154.25054	44759.45759	40040.52086	41697.12083
Q7DIC8	atpH	15614.03362	18208.65953	16663.43752	22008.8081	18607.97557	21837.42345	16092.23912	7260.165167	9315.910908	9280.048788	7485.538466	11505.30835
Q8NLC4	leuS	4389.162355	4571.322227	4329.434887	5476.646867	4852.417225	6958.2891	5947.89683	4544.535855	5784.303517	4150.39361	4280.879577	5048.326604
Q8NLE4	Cgl2998	1425.361703	1807.782919	2072.307958	1769.386491	1778.552423	1497.286711	2187.55082	1203.165379	1958.933801	1278.514285	1699.747405	1616.709626
Q8NLF0	Cgl2992	1728.589922	2296.750453	2139.440193	2102.055697	2087.003413	2685.080666	3486.646803	2720.34757	2719.493312	1994.238941	1401.018197	2323.708697
Q8NLF9	rpsF	82687.36314	94278.33361	110056.7592	85094.02413	98898.50319	103846.2927	145401.7894	128322.8893	128552.3	124304.0585	101054.0223	114257.2247
Q8NLG0	ssb	17110.80589	14502.24165	14827.68267	11203.6391	11188.24792	9893.571289	31272.81422	16592.43238	21697.01001	14713.67946	15656.30157	17560.60142
Q8NLG1	rplI	52402.89309	55289.12765	58377.37841	42500.63719	52175.66906	51550.77152	87214.1363	65872.45137	68668.97169	72153.72506	50281.81445	64798.97245
Q8NLP6	serS	4046.103104	5054.792499	5187.40558	6064.507224	5828.204214	6465.994587	7684.984775	6396.450283	7146.708491	3409.001961	3765.953444	3878.355266
Q8NLP9	glpK	950.2379799	1390.827565	1053.017396	1612.707221	1719.367094	1708.233196	4241.515683	3042.390831	3403.290639	3163.268289	3687.550444	3492.832116
Q8NLS3	trmB	3240.216896	4023.827639	4367.072121	3499.800058	3639.495119	3199.087541	4299.829242	3821.950105	4083.838228	2642.804122	3151.306259	3120.235917
P58897	coaE	5350.870192	7008.588265	5160.929862	5204.125156	4584.636067	6485.2163	5303.670661	3553.023337	4503.731192	1004.035568	1473.942047	1432.288363
Q8NLY6	dnaK	57765.71331	61580.34218	69980.43821	55620.58026	70248.92961	55755.30875	88917.10091	42053.88292	68897.03856	60722.35525	55804.80162	59010.94535
Q8NM16	purA	5397.678957	7163.951874	7786.97986	5039.619179	6415.52733	6945.186146	12533.33088	8166.329902	10222.48192	8453.035366	9768.379093	10420.92475
Q8NM44	Cgl2736	575.7477878	724.1861338	683.8239176	768.3825751	800.374601	625.2602444	1008.324147	840.2660265	825.1017293	657.3106802	951.3189889	778.6669318
Q8NM64	groL2	19025.39009	36951.22874	27720.98317	23979.58161	27317.68606	25673.30451	31361.05669	19459.26654	26279.1343	15677.84977	18504.16563	17262.46884
Q8NM79	ppa	8199.557043	12265.93712	10124.61268	13210.80963	12619.57464	13556.89638	11901.57096	12339.20586	11685.49577	6593.798789	8835.612407	8438.262587
Q8NMB2	disA	2307.574782	2624.831152	2044.265108	1590.505841	1824.132833	2712.610421	2554.287922	1432.52397	2652.606006	1080.874739	1451.263516	1763.687323
Q8NMD4	nagB	1636.004287	2785.280072	2708.84749	2852.030636	2836.4755	2694.266652	3712.294278	2203.08382	3216.614534	2571.60353	2741.920638	3349.975144
Q8NMD7	cysS	1841.146685	2882.86028	2048.813114	1904.15226	1898.863165	1720.627402	2181.853147	1431.697986	1573.878036	825.6055226	1221.836347	1079.413938
Q8NMH3	purD	9485.835089	10281.95332	10223.00266	13468.88632	13517.80782	13633.87373	11691.97049	8046.596881	12157.59714	7203.171521	6661.686691	5418.923745
Q8NMI4	purQ	12418.77336	15090.82973	15175.8655	16730.60564	15092.18693	17182.32783	17097.29106	8059.24183	9197.066484	8095.075358	8999.290832	11122.72527
Q8NMI5	purL	19769.56735	20459.1945	21736.152	25661.27549	25079.65472	27370.58831	18574.94671	15698.43484	17474.84875	14698.43135	17334.42705	18060.87701
Q8NMJ7	mshD	2100.34971	2435.042552	2499.077705	2410.958367	3117.790368	1530.93633	1708.622653	1119.887527	1556.106082	369.9076792	177.3509524	969.684506
Q8NML3	ramA	260.267094	457.5559637	631.5083936	357.6577412	330.1580893	513.4132642	1694.928234	684.22273	803.3202475	1466.942179	540.5073703	443.87178
Q8NML5	murA2	3965.966041	5114.452749	5194.467562	3817.487048	4443.504439	4223.93393	5693.192877	4623.50096	5209.108021	3042.951194	3630.085869	3673.74225
Q8NMN7	nadE	2653.288129	3460.193614	4064.17331	3518.861827	3540.172602	4305.008168	5682.713594	2924.546663	3970.867945	2484.772853	3023.663472	2468.920706
Q8NMT3	glsK	1326.852896	1486.696081	1628.842994	1767.52731	1823.239239	2213.062909	1068.372412	829.8569988	1278.028005	719.3414907	911.4601373	1014.103205
Q8NLA7	Cgl3041	1836.104401	2878.174838	2549.648597	2224.037536	1643.906446	2292.473736	3174.719363	2003.880686	2109.427915	405.4039004	636.9638762	870.9831561
Q8NMZ9	tig	7525.583403	7812.152358	10920.24709	12479.91804	10131.09863	13528.82726	28489.52874	13177.26117	23648.08432	14460.44835	14967.32591	17448.77536
Q8NN33	mdh	41901.89721	57042.6644	43122.9554	56514.5086	65376.46642	60296.84221	38021.60193	26054.4841	28806.38395	19802.11484	19365.03089	21165.57337
Q8NN37	valS	5862.372256	7850.507936	7688.388243	7593.298504	7416.232734	8456.291543	7937.284031	5515.73116	6376.044464	4147.77687	5099.82156	5463.400957
Q8NN51	rpmA	36047.26278	48080.79812	53201.66811	32794.54854	37307.32699	43406.70961	77851.73202	45963.65968	55289.86953	59697.21269	50707.98961	56859.40358
Q8NN68	lepA	3387.852441	4439.006946	4412.101682	3781.220675	3752.635119	4219.87513	4634.42675	3524.92351	3831.172558	2399.017449	2617.50335	2495.922938
Q8NNB4	dnaJ2	6357.69001	6383.500391	7050.448319	4629.952483	6076.483736	6242.784699	11252.90047	5383.464408	4692.343997	4459.659047	4096.333768	5229.18742
Q8NNB9	era	6951.131004	8606.841082	8247.372661	6172.015033	7918.217997	7156.079591	9768.732677	6476.00642	7924.525708	6778.687762	6991.939039	7058.714665
Q8NNC6	glyS	17215.76512	20383.25306	13542.07572	12226.23648	16651.48819	15127.37799	20222.15324	14829.67755	21421.81459	8702.776584	13754.41241	14536.40976
Q8NU03	Cgl0148	8351.625893	6516.000164	5833.518802	9112.406735	6922.893054	8609.638169	11413.29274	6219.73096	8770.879386	4296.589613	1006.293908	3205.165976
Q8NND3	glmS	3393.83291	5378.094909	4245.885082	4230.362332	6243.310791	7076.22407	5372.730851	3665.696666	3616.788783	2724.790169	2419.60818	4198.128013
Q8NNF6	aceE	43514.36203	54564.79564	55799.06951	50410.55356	52717.55845	50279.72051	76897.84806	54721.00495	58664.85116	55955.16503	46659.28262	55113.14301
Q8NNH6	Cgl2226	23751.07403	13949.99846	9564.46193	8906.171899	17118.66752	18733.69842	15230.7801	6139.109227	11584.09333	8830.611398	8212.916494	2104.671722
Q8NNJ0	lipA	2710.772375	3569.480373	3135.09406	3014.491753	2622.636498	3401.020243	2508.568163	2228.381413	2532.589007	1012.535568	1693.811191	1834.52848
Q8NNJ2	aceF	8003.3861	7360.623786	7703.335611	5536.520865	6591.506711	6078.426623	16879.31927	7290.747481	3888.707334	4861.797805	6590.16725	4761.136336
Q8NNJ4	pepB	3383.965417	4905.732688	5097.506599	3745.082009	4126.595914	4312.230913	8368.557761	5041.135939	7020.558222	4594.835905	4031.698458	4636.820046
Q8NNK2	ctaC	16493.83612	17209.04599	18061.1117	15223.32196	15919.71182	21348.79418	31827.90034	23936.70633	28929.13688	23978.71364	22167.666	24115.42133
Q8NNK5	qcrC	2352.811596	3150.469829	2845.387856	2661.182286	2421.707282	4068.817602	5364.541177	4089.74666	4361.752455	2799.164025	3798.932459	3405.138616
Q8NN26	clpX	1104.148375	1460.961728	890.4641689	784.6349892	140.7735484	293.0042919	713.2484654	1025.158835	1871.097349	711.0900512	394.0130459	584.3040011
Q8NNN5	murG	1602.808459	2133.873022	1611.466933	1717.533275	1389.810389	1368.823511	2480.058275	1328.017169	2000.276525	1245.327456	1101.866659	1391.209229
Q8NNP0	ileS	5159.434747	4751.923181	6679.695482	4340.030695	4640.318304	5611.993962	2645.884582	1725.257222	1505.209737	1796.154378	1275.797079	1850.36336
Q8NNT5	hisD	9418.972751	12467.75156	13269.64172	14538.22587	11099.07216	11314.22423	17850.71738	12709.68477	13846.47683	11105.39054	13512.11134	13963.05499
Q8NNV6	rnc	3241.059941	4176.062306	3750.433331	3773.284914	3920.550428	4358.308995	4786.095007	3625.309624	3850.575336	2595.817362	3228.729569	3285.634915
Q8NNX3	rpsP	31026.66982	30969.9798	39235.43448	31205.25309	31902.68061	35025.79661	53841.53565	36051.73486	47195.33952	46833.07181	40583.87699	45201.68236
Q8NNZ0	rplS	36392.66026	43964.74237	47228.64805	36453.68694	36119.4416	35701.62909	83423.59024	54802.20683	65203.11815	64448.5211	55429.93797	62298.76213
Q8NP01	rpsB	23110.90654	24939.93317	23132.13079	18107.17818	22754.87459	22007.21323	32036.98462	23799.20168	25769.88441	22601.14042	18285.66684	21543.27919
Q8NP02	tsf	43070.38199	35856.83031	38683.25716	44759.13782	48150.78702	47725.23303	52188.72387	45819.89185	46845.06542	32140.52425	35169.33918	34879.6551
Q8NP03	frr	62233.04909	73366.55727	72387.08532	41459.3322	73829.42068	74321.35971	75765.44342	65362.39625	59540.9646	65961.60987	38929.1228	61119.39947
Q8NP06	rlmN	4166.763572	6276.289809	5929.055838	4171.521395	4643.924466	5846.996294	7878.361143	4329.89565	6883.400371	3139.314075	2529.423727	4441.732886
Q8NP12	ispG	6161.1845	7825.001213	7679.040451	8178.325519	8536.406805	9295.696595	7825.043138	5836.020617	6806.625707	4301.791383	3833.84302	4447.257489
Q8NP26	selO	611.7524379	645.4210382	725.4877262	665.4508549	642.2534068	724.5888624	557.8978873	379.0742468	537.0033521	302.1094671	349.7894486	334.8217555
Q8NP31	proS	1581.6608	2416.673557	2123.181802	2183.710526	2193.474089	2394.008764	3082.661805	1831.485647	2874.132386	1707.51786	1549.262721	1845.13473
Q8NP40	infB	9039.334084	11023.42841	10655.03903	10124.36702	10285.22102	10987.35745	16845.59064	11008.63777	13736.8961	9903.415216	9090.101056	11387.87442
Q8NP50	gpsI	10690.63109	13455.14786	13353.29642	12395.63632	13078.39671	14842.54596	17352.64418	14066.6833	15556.14377	9793.070494	9905.875125	11283.89301
Q8NP67	miaB	533.0648198	779.8958245	624.4773429	724.1725844	565.400897	928.713752	771.6182008	575.4564812	677.0939446	516.1379963	575.4628232	564.6752938
Q8NP72	miaA	936.9326907	1269.44728	1021.950515	904.6904913	1006.166475	1047.776679	1385.377793	1050.509113	1199.097166	741.5221755	1228.81753	958.1745699
Q8NP73	dapF	2593.853584	3328.346012	2877.80771	2684.422054	3041.007915	2979.219887	2360.356767	1356.147347	1965.982522	951.628586	736.2757819	1148.350254
Q8NP86	lexA	1147.634064	387.4896758	1046.872615	2020.215521	1766.276126	2142.269746	1865.68585	721.4938519	363.0530399	358.8188591	1545.648839	731.2820949
Q8NP88	nrdR	817.6261718	1374.729019	973.1047034	1189.889626	702.9977626	544.912153	1186.860561	1016.751576	871.0071996	372.6768412	548.0776076	784.1986806
Q8NP95	dtxR	14667.43525	20629.6282	21916.5048	16366.87644	10136.77533	12978.86178	20994.10533	13048.26459	14579.63292	12862.35512	13085.01865	15842.31849
Q8NPZ0	thrS	6918.137901	8304.774122	8270.667323	8226.134843	7308.191478	8421.212985	13692.62269	10840.33758	11626.45028	7341.006035	7708.425168	8450.632117
Q8NPZ8	Cgl1663	15452.96033	19914.47919	18549.76407	16017.65164	18811.54223	18783.76316	38691.06751	28935.21506	30858.69414	24201.3285	24380.40401	26587.01867
Q8NQ03	Cgl1651	33543.61419	38121.49729	38851.86492	47998.24769	48928.18891	57740.5248	55573.65093	46250.28174	45566.53408	55495.55302	50508.39662	50401.91866
Q8NQ07	hisS	4788.657652	5433.727722	5106.530519	5764.642843	5816.217435	5808.573778	5553.267446	4091.344976	4977.819684	3108.646676	3429.718309	3886.035219
Q8NQ19	aspS	8490.742724	11489.19123	10778.87793	9460.759304	9565.595187	10724.10327	10907.34061	7047.405146	8857.142358	5857.398737	6137.918869	7220.552355
Q8NQ22	alaS	3335.91529	3586.579416	3268.91323	3682.925702	3370.189544	3699.03882	5301.441341	3680.272409	4066.178685	3420.325875	3663.269885	4171.323153
Q8NQ23	Cgl1631	2042.416903	3120.332084	2607.812469	2848.206428	3232.685784	3179.157497	3824.698982	2926.063862	3565.446759	2344.174204	3556.252204	4447.051604
Q8NMG5	poxB	4089.842423	6628.30451	5365.451428	5503.904316	6298.30999	6037.231038	2928.794058	1085.460295	2750.298834	645.6969233	379.4812626	649.2367195
Q8NQ39	pyrC	4090.685085	4988.420428	5600.476636	5460.184093	5682.383756	6248.040285	5776.845667	3506.195557	4812.620531	3052.089168	1893.499791	3484.628781
Q8NRD3	Cgl1119	541.7145425	1133.873257	1358.632895	1384.442755	1395.433073	1866.506534	1966.845754	1216.544581	2745.2642	407.1190354	986.5623277	987.4393728
Q8NQ43	rpoZ	4649.075984	5351.270659	4396.484688	4602.681141	4449.520386	5986.249611	3793.185922	4643.814254	4097.976939	2898.27524	3178.809456	2952.008671
Q8NQ46	def1	5344.777372	7097.333619	7210.613138	4888.201055	4856.155535	4852.06591	4215.931804	3083.709941	4536.083058	1778.46919	2444.242062	2429.987151
Q79VD6	nrdF	11740.461	15066.02292	14189.47885	11453.22157	12392.5875	12836.98387	10276.4411	7290.519351	7897.313355	1803.67105	2128.811356	2820.139661
Q8NQ56	Cgl1591	3147.387615	3161.377974	3643.392888	3137.182333	2126.648406	377.6286249	4047.482102	399.07808	2168.660244	1789.62761	1316.055048	1979.44171
Q8NQ66	ctaB	5245.268929	7619.695728	5330.480783	2005.566806	1705.381852	4402.174536	10109.06634	7308.493225	1431.476349	3209.41408	4110.373325	2518.503322
Q8NQ98	acn	46195.95811	49179.09428	50075.17647	69743.54896	74717.61027	85672.18314	66789.10951	48102.44689	51356.47336	41425.92767	37834.65039	45136.7878
Q8NQA1	hemH	1482.837439	2358.31478	1992.526606	2276.933709	2243.320634	1857.511377	2817.849316	1973.37427	2477.762715	1241.096538	1503.543335	1622.916165
Q8NQC0	pyrD	3464.775804	4730.654658	4641.803447	4093.714611	4168.861122	4258.781991	5704.478977	4110.947453	4779.837531	3409.278581	2063.049487	3053.352566
Q8NRR8	ppx2	2407.991532	3072.844081	2910.091515	3980.031798	4336.154426	4517.269334	3157.013183	2375.849666	2450.397978	667.0507281	286.5098959	822.1646982
