cgl-id	Chr	Start	End	Strand	Length	AF1	AF2	AF3	AN1	AN2	AN3	CF1	CF2	CF3	CN1	CN2	CN3	cgl-id
Cgl0022	WT-3281083	21597	22127	+	531	4	100	73	149	182	218	20	9	5	5	5	5	Cgl0022
Cgl0023	WT-3281083	22164	23402	+	1239	28	215	279	582	713	607	3	5	9	0	1	3	Cgl0023
Cgl0024	WT-3281083	24214	24732	+	519	27	334	304	719	861	832	14	4	4	3	0	4	Cgl0024
Cgl0025	WT-3281083	24882	26573	-	1692	177	286	309	404	527	578	328	209	205	209	200	194	Cgl0025
Cgl0026	WT-3281083	26819	28099	-	1281	49	830	732	3718	3172	2994	24	34	21	23	19	21	Cgl0026
Cgl0027	WT-3281083	28161	29117	-	957	14	76	123	1320	823	1145	13	3	2	1	2	1	Cgl0027
Cgl0028	WT-3281083	29114	29965	-	852	10	248	229	698	755	828	0	6	2	4	1	1	Cgl0028
Cgl0029	WT-3281083	29995	30654	+	660	39	557	433	1562	1563	1507	20	19	12	3	7	11	Cgl0029
Cgl0030	WT-3281083	30697	31680	+	984	345	480	624	845	948	895	437	264	280	195	124	122	Cgl0030
Cgl0031	WT-3281083	31677	32702	+	1026	397	880	898	1487	1609	1590	786	558	530	313	246	208	Cgl0031
Cgl0032	WT-3281083	32699	33460	+	762	391	781	838	1441	1441	1339	1018	771	616	461	354	335	Cgl0032
Cgl0033	WT-3281083	33462	34274	-	813	2164	1668	2426	2142	1955	1836	1531	787	954	642	415	440	Cgl0033
Cgl0034	WT-3281083	34330	34902	+	573	8645	8193	9709	8206	6141	8050	16120	9915	9049	7643	8250	6757	Cgl0034
Cgl0035	WT-3281083	35012	35671	+	660	23	123	119	161	233	257	61	36	32	7	7	10	Cgl0035
Cgl0036	WT-3281083	37245	38201	+	957	36	643	583	1143	1471	1448	9	13	10	2	1	9	Cgl0036
Cgl0037	WT-3281083	36244	37242	-	999	14	158	188	319	465	458	3	1	1	1	1	1	Cgl0037
Cgl0038	WT-3281083	38202	38981	+	780	40	538	475	1188	1220	1138	27	28	21	16	10	10	Cgl0038
Cgl0039	WT-3281083	38978	39802	+	825	31	229	223	613	705	564	16	12	9	5	1	5	Cgl0039
Cgl0040	WT-3281083	40186	40458	-	273	270	273	347	334	360	417	341	255	155	209	188	191	Cgl0040
Cgl0041	WT-3281083	40573	42513	-	1941	898	2312	2288	4260	4424	4487	1414	922	779	783	863	668	Cgl0041
Cgl0042	WT-3281083	42510	43919	-	1410	375	1012	1020	1820	1986	1914	528	432	320	371	330	305	Cgl0042
Cgl0043	WT-3281083	43923	45347	-	1425	573	1117	1050	1970	1993	1897	1256	908	758	833	691	508	Cgl0043
Cgl0044	WT-3281083	45344	46669	-	1326	599	1172	1301	2076	2221	2088	1634	1014	774	787	717	533	Cgl0044
Cgl0045	WT-3281083	46666	48021	-	1356	615	1121	1196	1986	2239	2126	1271	765	625	386	376	359	Cgl0045
Cgl0046	WT-3281083	48021	48485	-	465	47	652	490	1165	1348	1315	40	23	16	12	4	5	Cgl0046
Cgl0047	WT-3281083	48502	49398	-	897	192	496	525	805	934	953	218	151	130	73	59	66	Cgl0047
Cgl0048	WT-3281083	49894	50616	-	723	43	216	212	304	475	419	88	54	49	36	28	27	Cgl0048
Cgl0049	WT-3281083	50963	51436	-	474	156	140	195	185	196	227	531	372	271	267	276	254	Cgl0049
Cgl0050	WT-3281083	53097	54011	+	915	62	491	449	1148	1124	1060	70	41	27	41	25	25	Cgl0050
Cgl0051	WT-3281083	51623	53095	-	1473	522	1454	1466	2776	2812	2680	785	474	408	314	238	262	Cgl0051
Cgl0052	WT-3281083	54179	55549	+	1371	43	580	565	1146	1364	1297	10	6	8	3	1	1	Cgl0052
Cgl0053	WT-3281083	55626	56372	-	747	36	1285	939	2023	2305	2697	14	16	18	9	1	0	Cgl0053
Cgl0054	WT-3281083	56383	56676	-	294	3	19	17	30	39	46	2	3	2	0	4	2	Cgl0054
Cgl0055	WT-3281083	56677	57270	-	594	6	169	165	284	427	507	5	3	8	0	3	2	Cgl0055
Cgl0056	WT-3281083	57397	57654	+	258	83	226	308	323	516	562	137	79	64	31	26	38	Cgl0056
Cgl0057	WT-3281083	58087	58944	+	858	8	336	316	417	650	781	11	4	5	2	1	1	Cgl0057
Cgl0058	WT-3281083	59091	59933	+	843	25	258	243	563	640	578	17	18	7	5	5	1	Cgl0058
Cgl0059	WT-3281083	59952	60665	+	714	27	140	176	422	617	423	12	4	3	1	1	2	Cgl0059
Cgl0060	WT-3281083	60669	62324	+	1656	38	699	656	1383	1841	1694	21	10	14	10	1	4	Cgl0060
Cgl0061	WT-3281083	62387	63508	-	1122	897	1282	1509	2134	2098	2024	1415	949	821	984	798	742	Cgl0061
Cgl0062	WT-3281083	63591	64040	-	450	184	199	258	225	250	326	193	94	107	92	50	48	Cgl0062
Cgl0063	WT-3281083	64190	65461	+	1272	74	1438	1131	2943	3155	3193	142	98	65	30	39	29	Cgl0063
Cgl0064	WT-3281083	65505	66197	-	693	54	526	454	1175	1279	1193	33	34	22	19	20	12	Cgl0064
Cgl0065	WT-3281083	66599	67975	+	1377	89	969	825	2278	2416	2245	111	64	41	42	18	43	Cgl0065
Cgl0066	WT-3281083	68248	68634	-	387	45	140	159	333	366	376	90	58	36	51	30	48	Cgl0066
Cgl0067	WT-3281083	68717	70297	-	1581	86	1432	1196	3199	3626	3230	27	22	21	15	21	15	Cgl0067
Cgl0068	WT-3281083	70506	72161	+	1656	149	864	877	1674	1953	1917	131	94	58	57	67	70	Cgl0068
Cgl0069	WT-3281083	72161	72817	+	657	223	551	560	1118	1234	998	287	252	207	165	177	157	Cgl0069
Cgl0070	WT-3281083	72814	73728	-	915	283	402	560	707	753	766	342	203	140	149	120	146	Cgl0070
Cgl0071	WT-3281083	73844	74275	+	432	172	274	306	262	320	405	256	187	168	114	104	85	Cgl0071
Cgl0072	WT-3281083	74490	75494	+	1005	88	590	484	1086	1230	1278	209	142	100	140	115	140	Cgl0072
Cgl0073	WT-3281083	75506	75745	+	240	10	307	243	661	773	649	37	19	28	12	6	10	Cgl0073
Cgl0075	WT-3281083	82117	83568	-	1452	53	420	511	986	1291	1041	44	30	25	21	13	17	Cgl0075
Cgl0076	WT-3281083	83688	84935	-	1248	122	317	345	710	792	705	215	126	101	67	70	54	Cgl0076
Cgl0077	WT-3281083	85095	85319	-	225	15	88	82	125	191	179	44	33	15	29	12	21	Cgl0077
Cgl0078	WT-3281083	85426	85623	-	198	65	36	80	56	47	65	147	67	56	66	60	66	Cgl0078
Cgl0078	WT-3281083	85660	86220	-	561	2727	2449	3136	4586	3515	4591	8571	5183	3920	4121	4760	4246	Cgl0078
Cgl0079	WT-3281083	86318	87244	+	927	115	1293	1064	2395	2771	2808	85	55	39	44	47	63	Cgl0079
Cgl0080	WT-3281083	87558	88532	-	975	977	1132	1599	1990	1887	2061	648	406	334	441	520	420	Cgl0080
Cgl0081	WT-3281083	88542	89444	-	903	48	720	514	1389	1509	1539	6	9	12	8	2	5	Cgl0081
Cgl0082	WT-3281083	89573	90448	+	876	38	326	339	672	876	707	99	70	46	102	99	111	Cgl0082
Cgl0083	WT-3281083	90458	90973	-	516	30	89	91	169	197	208	62	47	38	19	22	13	Cgl0083
Cgl0084	WT-3281083	91174	91476	+	303	38	103	116	184	243	218	138	49	51	17	21	18	Cgl0084
Cgl0085	WT-3281083	91503	91991	+	489	70	365	279	646	815	778	212	106	108	27	45	30	Cgl0085
Cgl0086	WT-3281083	91992	93704	+	1713	353	574	736	890	1033	1029	1255	801	698	228	241	194	Cgl0086
Cgl0087	WT-3281083	93729	94202	+	474	23	201	167	166	385	337	83	46	36	13	8	12	Cgl0087
Cgl0088	WT-3281083	94202	94882	+	681	65	268	237	556	549	536	119	71	56	27	19	20	Cgl0088
Cgl0089	WT-3281083	94899	95516	+	618	51	130	125	161	228	277	77	72	46	30	20	20	Cgl0089
Cgl0090	WT-3281083	95517	96368	+	852	91	489	444	1154	1270	1075	80	64	47	33	23	30	Cgl0090
Cgl0091	WT-3281083	96365	97117	-	753	141	435	462	856	1002	966	308	211	195	279	298	273	Cgl0091
Cgl0092	WT-3281083	97316	98470	-	1155	71	1363	1027	2462	2801	2767	112	96	84	89	80	79	Cgl0092
Cgl0093	WT-3281083	98805	101582	-	2778	1369	2017	2452	4122	4112	4012	1554	1097	955	911	815	796	Cgl0093
Cgl0094	WT-3281083	101609	103435	-	1827	258	961	1057	2240	2448	2471	375	211	180	189	198	175	Cgl0094
Cgl0095	WT-3281083	103479	104912	+	1434	829	1406	1666	2662	2567	2398	1358	819	817	476	433	438	Cgl0095
Cgl0096	WT-3281083	105170	105622	-	453	32	569	449	1319	1407	1298	11	12	6	0	0	2	Cgl0096
Cgl0097	WT-3281083	105838	106392	-	555	56	530	399	1038	1210	1049	117	82	51	44	52	62	Cgl0097
Cgl0098	WT-3281083	106627	107178	-	552	51	111	124	155	224	169	72	43	44	40	29	27	Cgl0098
Cgl0099	WT-3281083	107435	110893	+	3459	1811	4450	4567	8109	8355	8401	2839	1836	1543	1802	1696	1686	Cgl0099
Cgl0100	WT-3281083	111374	112321	+	948	214	710	731	1233	1458	1521	152	91	72	29	23	33	Cgl0100
Cgl0101	WT-3281083	112470	114086	+	1617	202	571	560	902	1031	1123	251	186	137	152	118	158	Cgl0101
Cgl0102	WT-3281083	114093	115481	+	1389	245	936	844	2023	2055	2053	281	199	154	166	163	129	Cgl0102
Cgl0103	WT-3281083	115536	115946	+	411	34	88	93	103	165	166	38	22	18	14	15	7	Cgl0103
Cgl0104	WT-3281083	115949	116266	+	318	9	134	155	165	270	342	26	11	13	3	8	4	Cgl0104
Cgl0105	WT-3281083	116545	118557	-	2013	880	1150	1398	1949	2073	1999	889	548	408	412	370	366	Cgl0105
Cgl0106	WT-3281083	118807	119589	-	783	1556	1944	2307	2948	2472	2826	1947	1098	974	1173	1127	1154	Cgl0106
Cgl0107	WT-3281083	120021	120413	+	393	391	326	527	366	422	484	324	231	182	166	145	146	Cgl0107
Cgl0108	WT-3281083	120410	120922	-	513	391	427	581	592	543	651	582	358	268	376	346	358	Cgl0108
Cgl0109	WT-3281083	120948	122459	-	1512	73	760	717	1981	2140	1875	68	38	33	8	6	20	Cgl0109
Cgl0110	WT-3281083	122504	123841	-	1338	46	531	587	1209	1527	1167	55	46	18	17	17	15	Cgl0110
Cgl0111	WT-3281083	124121	124969	+	849	39	484	440	858	1120	1101	12	17	15	9	5	4	Cgl0111
Cgl0112	WT-3281083	124971	126353	+	1383	169	1507	1227	3316	3348	3384	144	117	90	57	77	70	Cgl0112
Cgl0113	WT-3281083	126350	127189	-	840	188	846	723	1745	1810	1632	929	595	506	347	286	221	Cgl0113
Cgl0114	WT-3281083	127189	128004	-	816	154	912	706	1661	1696	1687	487	356	328	248	201	167	Cgl0114
Cgl0115	WT-3281083	128096	129049	-	954	40	125	122	154	228	337	74	40	34	44	36	35	Cgl0115
Cgl0116	WT-3281083	129486	130118	-	633	29	142	151	142	205	258	36	28	13	25	22	20	Cgl0116
Cgl0117	WT-3281083	130145	130801	+	657	54	190	238	282	420	502	35	28	15	20	11	6	Cgl0117
Cgl0118	WT-3281083	130812	131711	-	900	78	455	520	916	1134	1026	96	62	61	69	56	49	Cgl0118
Cgl0119	WT-3281083	131822	132427	+	606	365	472	669	641	744	894	395	279	214	181	126	133	Cgl0119
Cgl0120	WT-3281083	132424	132984	+	561	1049	1466	1437	1864	1766	1925	1598	873	538	668	645	715	Cgl0120
Cgl0121	WT-3281083	132968	134134	-	1167	1255	1307	1711	1661	1743	1633	2270	1674	1482	502	487	471	Cgl0121
Cgl0122	WT-3281083	134204	135478	-	1275	56	637	526	1248	1400	1382	66	60	48	26	33	31	Cgl0122
Cgl0123	WT-3281083	135515	136033	-	519	40	737	557	1405	1661	1570	19	10	9	10	6	11	Cgl0123
Cgl0124	WT-3281083	136119	136541	-	423	41	539	408	1085	1054	1053	12	20	13	9	3	11	Cgl0124
Cgl0125	WT-3281083	136804	138747	+	1944	1927	2215	2792	3676	3613	3714	3400	2486	2097	1580	1600	1417	Cgl0125
Cgl0126	WT-3281083	138791	140332	+	1542	719	798	1088	1083	1304	1212	911	613	474	452	284	316	Cgl0126
Cgl0127	WT-3281083	140332	141792	+	1461	655	1066	1234	1795	2016	1738	708	480	406	371	301	247	Cgl0127
Cgl0128	WT-3281083	141796	143529	+	1734	948	2479	2287	4153	4492	4516	1262	957	766	795	884	696	Cgl0128
Cgl0130	WT-3281083	143575	144642	+	1068	239	635	642	1155	1202	1116	346	233	178	206	198	209	Cgl0130
Cgl0131	WT-3281083	144731	145483	+	753	38	405	375	763	992	909	101	67	65	27	28	17	Cgl0131
Cgl0132	WT-3281083	145515	146396	-	882	42	258	249	389	496	528	64	55	52	34	48	38	Cgl0132
Cgl0133	WT-3281083	146522	147241	+	720	30	399	360	869	948	879	12	7	13	1	1	3	Cgl0133
Cgl0134	WT-3281083	147238	147573	+	336	214	374	404	765	840	783	270	114	156	180	152	177	Cgl0134
Cgl0135	WT-3281083	147570	147980	-	411	188	248	361	625	616	594	321	199	210	204	214	201	Cgl0135
Cgl0136	WT-3281083	148122	149783	+	1662	1156	1171	1642	2760	2479	2748	5745	3625	2971	1682	1933	1702	Cgl0136
Cgl0137	WT-3281083	149791	150930	-	1140	57	1062	815	2182	2433	2174	31	23	15	14	3	11	Cgl0137
Cgl0138	WT-3281083	151590	152372	+	783	96	987	784	2014	2231	2047	298	160	133	156	132	149	Cgl0138
Cgl0139	WT-3281083	150963	151454	-	492	62	570	486	1159	1191	1156	514	279	219	268	246	226	Cgl0139
Cgl0140	WT-3281083	152440	152817	+	378	2798	2664	3318	3039	2293	2907	3995	2798	2014	3714	4073	3598	Cgl0140
Cgl0141	WT-3281083	153223	155652	-	2430	791	1804	1840	3302	3130	3183	1307	845	731	389	447	408	Cgl0141
Cgl0142	WT-3281083	155874	156170	+	297	68	151	213	181	234	296	149	93	67	74	46	45	Cgl0142
Cgl0143	WT-3281083	156144	156821	-	678	439	955	1065	1475	1654	1802	296	227	166	167	168	185	Cgl0143
Cgl0144	WT-3281083	156848	157540	+	693	42	440	353	794	903	863	39	38	19	17	26	26	Cgl0144
Cgl0145	WT-3281083	157584	158141	+	558	9	58	80	122	184	228	14	9	13	2	3	5	Cgl0145
Cgl0146	WT-3281083	158154	158834	+	681	19	204	186	416	470	384	48	29	28	13	17	13	Cgl0146
Cgl0147	WT-3281083	158869	159162	+	294	88	106	160	202	227	202	115	43	43	26	25	19	Cgl0147
Cgl0148	WT-3281083	159162	160016	+	855	1159	975	1277	1123	964	1115	1956	1279	1033	844	811	760	Cgl0148
Cgl0149	WT-3281083	160029	160373	+	345	41	253	217	457	533	502	29	21	20	14	5	6	Cgl0149
Cgl0150	WT-3281083	160470	161363	+	894	149	475	473	737	957	1034	267	188	130	101	94	99	Cgl0150
Cgl0151	WT-3281083	161360	162268	-	909	1253	1807	2139	2479	2441	2713	1574	882	754	784	626	656	Cgl0151
Cgl0152	WT-3281083	162439	162870	+	432	19	255	250	305	547	545	38	21	43	14	17	9	Cgl0152
Cgl0153	WT-3281083	162983	163606	+	624	36	287	296	366	534	580	15	7	9	1	0	1	Cgl0153
Cgl0154	WT-3281083	165717	166460	+	744	403	500	698	905	981	901	331	183	201	197	129	129	Cgl0154
Cgl0155	WT-3281083	163686	165614	-	1929	4994	5023	6519	6684	6210	6192	5741	3383	2974	2258	1734	1707	Cgl0155
Cgl0156	WT-3281083	166457	167422	+	966	1017	1249	1429	1701	1624	1884	1230	777	583	842	859	699	Cgl0156
Cgl0157	WT-3281083	167834	168595	-	762	376	899	943	1394	1598	1466	503	370	288	247	269	267	Cgl0157
Cgl0158	WT-3281083	168975	169994	+	1020	50	690	641	1234	1403	1512	56	46	37	53	38	48	Cgl0158
Cgl0159	WT-3281083	169996	170919	+	924	56	713	629	1744	1822	1634	52	40	18	25	13	29	Cgl0159
Cgl0160	WT-3281083	170933	172447	+	1515	79	781	727	2010	2135	1990	51	24	22	30	19	29	Cgl0160
Cgl0161	WT-3281083	172468	173358	+	891	58	262	287	631	759	583	84	42	47	57	54	45	Cgl0161
Cgl0162	WT-3281083	173365	175278	+	1914	135	1099	991	2768	3124	2685	61	62	41	38	29	22	Cgl0162
Cgl0163	WT-3281083	175319	176275	+	957	117	805	699	1776	1969	1801	122	100	72	102	101	97	Cgl0163
Cgl0164	WT-3281083	176308	177321	+	1014	138	680	659	1695	1802	1571	154	126	92	106	98	107	Cgl0164
Cgl0165	WT-3281083	177334	178206	+	873	76	180	205	436	577	376	72	70	51	85	62	49	Cgl0165
Cgl0166	WT-3281083	178300	179661	+	1362	42	396	398	908	1113	992	33	20	18	20	24	12	Cgl0166
Cgl0167	WT-3281083	179689	180714	+	1026	43	522	575	1435	1588	1309	12	4	8	2	5	4	Cgl0167
Cgl0168	WT-3281083	180842	181300	+	459	99	271	233	457	496	403	178	108	91	104	54	70	Cgl0168
Cgl0169	WT-3281083	181303	181650	+	348	77	156	200	248	309	283	107	84	86	63	53	26	Cgl0169
Cgl0170	WT-3281083	181684	182679	-	996	79	655	648	1857	1841	1621	78	38	58	39	47	62	Cgl0170
Cgl0170	WT-3281083	2597968	2598423	+	456	25	383	373	878	1011	935	15	10	6	11	7	6	Cgl0170
Cgl0171	WT-3281083	182819	184054	+	1236	39	921	769	2128	2317	2167	33	40	20	14	5	10	Cgl0171
Cgl0172	WT-3281083	184077	185090	+	1014	34	599	485	1558	1556	1316	38	39	13	11	6	11	Cgl0172
Cgl0173	WT-3281083	185214	185645	+	432	45	83	85	88	96	132	33	32	30	28	31	18	Cgl0173
Cgl0174	WT-3281083	186508	186711	+	204	2236	1660	2315	1130	970	1094	1858	1214	742	1233	1080	945	Cgl0174
Cgl0175	WT-3281083	186769	187305	+	537	13	141	152	166	325	329	11	23	3	15	2	10	Cgl0175
Cgl0176	WT-3281083	187302	187610	+	309	11	108	67	99	125	167	19	8	5	9	6	2	Cgl0176
Cgl0177	WT-3281083	187687	188103	+	417	63	96	133	129	177	177	117	80	49	68	57	57	Cgl0177
Cgl0178	WT-3281083	188297	188725	-	429	12	82	86	136	233	181	62	48	35	18	35	28	Cgl0178
Cgl0179	WT-3281083	188744	189736	-	993	157	515	507	1046	1125	1062	616	401	332	353	324	294	Cgl0179
Cgl0180	WT-3281083	189920	190324	+	405	22	332	282	335	512	626	25	16	6	12	10	5	Cgl0180
Cgl0181	WT-3281083	190700	192175	-	1476	37	212	229	388	545	582	55	35	35	26	17	21	Cgl0181
Cgl0183	WT-3281083	194601	195038	-	438	62	143	167	194	322	312	70	42	42	46	36	36	Cgl0183
Cgl0184	WT-3281083	195240	199772	+	4533	196	2015	1872	5338	5708	5055	631	393	281	90	60	38	Cgl0184
Cgl0185	WT-3281083	199772	201292	+	1521	82	1843	1343	3720	3998	3743	228	176	140	39	56	42	Cgl0185
Cgl0186	WT-3281083	201757	203244	-	1488	2194	2711	3058	4109	3390	4539	5329	3463	2917	4320	4350	3994	Cgl0186
Cgl0187	WT-3281083	203538	206978	-	3441	2144	3456	3676	6350	6349	6123	6407	4432	3620	2970	2946	2620	Cgl0187
Cgl0188	WT-3281083	207004	209037	-	2034	747	1282	1561	2078	2290	2204	1479	909	636	455	338	357	Cgl0188
Cgl0189	WT-3281083	209207	209968	-	762	10021	7934	11254	7749	5880	6789	11083	7072	4946	3535	3720	3380	Cgl0189
Cgl0190	WT-3281083	209989	211455	-	1467	31040	28010	35856	24058	19107	23163	38731	22353	17634	14742	16496	13834	Cgl0190
Cgl0191	WT-3281083	211532	211759	-	228	308	337	377	523	433	438	313	194	145	134	146	118	Cgl0191
Cgl0192	WT-3281083	211807	212286	+	480	211	425	441	746	735	741	99	75	56	46	32	28	Cgl0192
Cgl0193	WT-3281083	212283	212738	+	456	148	527	484	888	1034	1002	96	56	61	59	41	29	Cgl0193
Cgl0194	WT-3281083	212764	213660	+	897	3221	3459	4259	3912	3956	3901	2381	1530	1301	1346	1168	975	Cgl0194
Cgl0195	WT-3281083	213676	214110	+	435	770	781	913	921	808	974	942	673	452	538	512	477	Cgl0195
Cgl0196	WT-3281083	214121	214525	+	405	156	480	458	802	811	778	283	170	168	116	143	106	Cgl0196
Cgl0197	WT-3281083	214527	215162	+	636	717	1236	1319	2005	1854	2073	1026	729	536	375	555	482	Cgl0197
Cgl0198	WT-3281083	215159	216100	-	942	82	961	887	1815	2241	2287	49	27	27	10	6	21	Cgl0198
Cgl0199	WT-3281083	216113	216712	-	600	64	775	640	1515	1603	1587	53	76	57	34	22	28	Cgl0199
Cgl0200	WT-3281083	217138	217929	-	792	576	1411	1259	2419	2233	2551	2088	1454	1159	673	710	655	Cgl0200
Cgl0201	WT-3281083	217940	218836	-	897	664	1178	1179	2229	2163	2495	2520	1649	1275	1057	1233	1066	Cgl0201
Cgl0202	WT-3281083	218979	220154	+	1176	631	2296	1987	3997	4232	4414	808	474	428	341	298	268	Cgl0202
Cgl0203	WT-3281083	220151	221131	-	981	316	1001	1003	1884	2008	2071	468	303	272	248	193	227	Cgl0203
Cgl0204	WT-3281083	221128	221655	-	528	18	519	488	762	1070	1062	4	10	3	1	0	2	Cgl0204
Cgl0205	WT-3281083	222097	222210	+	114	121	227	224	397	433	384	150	128	94	98	78	78	Cgl0205
Cgl0206	WT-3281083	222207	223694	-	1488	98	1040	988	1717	2380	2136	53	47	30	19	16	8	Cgl0206
Cgl0207	WT-3281083	224381	225247	+	867	36	1582	1238	2570	3386	3659	4	12	9	5	1	2	Cgl0207
Cgl0208	WT-3281083	225239	226312	-	1074	713	1792	1655	2807	3082	3052	919	583	492	282	269	277	Cgl0208
Cgl0209	WT-3281083	226309	226767	-	459	752	1253	1367	1771	1678	1780	1037	745	612	472	463	454	Cgl0209
Cgl0210	WT-3281083	226757	227218	-	462	899	1381	1355	1675	1614	1737	1210	769	709	539	513	574	Cgl0210
Cgl0211	WT-3281083	227215	227685	-	471	191	268	311	382	411	407	127	108	68	61	39	43	Cgl0211
Cgl0212	WT-3281083	227700	228884	-	1185	213	902	763	1641	1852	1779	852	549	463	239	245	259	Cgl0212
Cgl0213	WT-3281083	228888	229727	-	840	19	163	193	240	330	434	91	54	49	33	17	15	Cgl0213
Cgl0214	WT-3281083	229708	230514	-	807	88	300	371	743	757	688	358	223	255	129	93	103	Cgl0214
Cgl0215	WT-3281083	230674	230931	+	258	142	423	430	953	982	857	196	89	86	62	49	51	Cgl0215
Cgl0216	WT-3281083	230928	231842	-	915	569	1039	1067	1785	1828	1702	814	514	464	303	308	265	Cgl0216
Cgl0217	WT-3281083	231845	232267	-	423	195	256	261	338	351	410	305	155	166	132	89	87	Cgl0217
Cgl0218	WT-3281083	232257	233282	-	1026	281	939	824	1627	1672	1675	373	259	244	156	122	158	Cgl0218
Cgl0219	WT-3281083	233913	234821	+	909	50	210	244	316	375	604	67	37	36	37	28	39	Cgl0219
Cgl0220	WT-3281083	234907	235191	-	285	73	77	96	89	136	131	24	18	19	19	13	12	Cgl0220
Cgl0221	WT-3281083	235448	236212	-	765	234	454	480	801	797	819	279	197	168	201	165	167	Cgl0221
Cgl0222	WT-3281083	236326	237345	+	1020	18	366	441	790	886	868	4	11	2	6	5	1	Cgl0222
Cgl0223	WT-3281083	237345	238148	+	804	14	280	300	666	882	765	11	7	4	4	1	1	Cgl0223
Cgl0224	WT-3281083	238176	239528	+	1353	97	566	634	1286	1397	1352	277	154	170	82	97	75	Cgl0224
Cgl0225	WT-3281083	239935	241518	+	1584	56	303	377	729	950	882	675	498	376	205	217	164	Cgl0225
Cgl0226	WT-3281083	241880	242920	-	1041	439	1489	1388	2865	2790	2898	2294	1495	1356	704	695	730	Cgl0226
Cgl0227	WT-3281083	242940	243434	+	495	79	279	328	462	615	549	107	41	48	64	21	34	Cgl0227
Cgl0228	WT-3281083	243434	243913	+	480	35	562	418	948	1055	1244	55	48	53	28	11	25	Cgl0228
Cgl0229	WT-3281083	244015	244218	+	204	56	106	107	145	181	196	437	219	206	144	140	145	Cgl0229
Cgl0230	WT-3281083	244484	244819	+	336	52	207	161	238	221	337	83	76	81	74	63	62	Cgl0230
Cgl0231	WT-3281083	244902	247307	+	2406	461	1168	1328	2177	2660	2596	387	244	203	130	123	131	Cgl0231
Cgl0232	WT-3281083	247280	248575	+	1296	705	1283	1395	2229	2336	2094	1165	756	580	428	346	308	Cgl0232
Cgl0233	WT-3281083	248554	249306	-	753	114	261	331	536	587	640	248	203	194	89	60	62	Cgl0233
Cgl0234	WT-3281083	249428	250510	+	1083	64	1155	866	2233	2370	2395	18	24	10	5	0	7	Cgl0234
Cgl0235	WT-3281083	250503	251942	+	1440	54	617	649	1371	1699	1515	12	11	7	6	6	1	Cgl0235
Cgl0236	WT-3281083	251952	252833	+	882	159	1099	866	2003	2391	2159	257	151	161	189	151	161	Cgl0236
Cgl0237	WT-3281083	252827	253819	-	993	439	644	827	928	1122	1007	203	156	103	82	61	80	Cgl0237
Cgl0238	WT-3281083	254326	255486	-	1161	169	449	424	792	1038	870	16	20	24	1	7	5	Cgl0238
Cgl0239	WT-3281083	255489	255776	-	288	37	19	18	47	58	61	0	0	4	0	0	0	Cgl0239
